,Hospital_Associated_encoded,Tot_Sls_Amt,Msa_Dma_encoded,Salesperson_encoded,ST_encoded,Chain_Name_encoded,LMS_Available_Matching_Funds
3959,15,108675.0,72,103,8,22,0.0
4688,15,21713.0,185,118,4,37,1200.0
826,15,29444.0,126,21,42,2,0.0
2451,1,841920.0,140,23,1,2,0.0
3508,15,292611.0,25,93,10,1,0.0
2279,15,90850.0,175,59,43,37,1200.0
3855,0,65016.0,185,27,4,37,1200.0
3276,15,76974.0,82,88,15,37,2400.0
1146,15,130734.0,85,31,16,38,1200.0
96,15,470758.0,185,4,4,1,0.0
3424,15,136831.0,117,91,25,1,1200.0
4200,15,44563.0,51,108,22,36,11392.0
3264,15,244595.0,82,88,14,36,1176.0
2773,15,3604.0,16,72,35,6,410.0
3952,15,98545.0,72,103,20,33,100.0
383,15,51022.0,154,10,41,39,8912.0
182,15,169261.0,131,6,36,34,1200.0
4524,15,24752.0,35,116,9,12,0.0
2719,15,50408.0,97,71,43,1,2006.0
3294,15,88517.0,82,88,14,37,1200.0
1871,1,74873.0,80,46,49,22,1200.0
2736,15,6334.0,97,71,43,39,1000.0
4257,15,127511.0,30,109,17,7,2400.0
4330,15,74000.0,34,111,6,49,1200.0
